,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
353,Nador,0,MA,2020-10-25,72,35.17,-2.93,18.0,3.1
354,Port Hardy,90,CA,2020-10-25,60,50.7,-127.42,7.0,3.1
355,Broken Hill,40,AU,2020-10-25,62,-31.95,141.43,12.0,7.7
356,Baijiantan,0,CN,2020-10-25,76,45.63,85.18,2.36,1.17
357,Baoying,65,CN,2020-10-25,73,33.23,119.31,14.7,1.27
358,Nizwá,0,OM,2020-10-25,35,22.93,57.53,16.74,1.0
359,Belmonte,75,BR,2020-10-25,88,-15.86,-38.88,25.0,3.1
360,Sur,0,OM,2020-10-25,60,22.57,59.53,23.43,3.68
361,El Alto,27,PE,2020-10-25,90,-4.27,-81.21,17.09,5.8
362,Haines Junction,100,CA,2020-10-25,90,60.75,-137.51,-1.36,1.37
363,Presidencia Roque Sáenz Peña,58,AR,2020-10-25,59,-26.79,-60.44,27.78,4.02
364,Honiara,75,SB,2020-10-25,74,-9.43,159.95,30.0,2.6
365,Una,0,IN,2020-10-25,59,20.82,71.03,25.9,2.96
366,Terrace,90,CA,2020-10-25,92,54.52,-128.6,-1.0,1.5
367,Marrakesh,3,MA,2020-10-25,67,31.63,-8.01,15.0,1.5
368,Jingdezhen,98,CN,2020-10-25,73,29.29,117.21,15.87,1.01
369,Makakilo City,1,US,2020-10-25,70,21.35,-158.09,29.0,3.6
370,Khandyga,0,RU,2020-10-25,92,62.67,135.6,-12.95,0.74
371,Salalah,0,OM,2020-10-25,60,17.02,54.09,24.0,2.6
372,Nogliki,100,RU,2020-10-25,93,51.83,143.17,4.32,11.25
373,Eskişehir,0,TR,2020-10-25,87,39.78,30.52,11.0,1.0
374,Emerald,0,AU,2020-10-25,60,-23.53,148.17,25.0,2.6
375,Intipucá,99,SV,2020-10-25,93,13.2,-88.05,25.02,0.88
376,Constantine,0,DZ,2020-10-25,61,36.37,6.61,8.0,0.5
377,Pitimbu,0,BR,2020-10-25,88,-7.47,-34.81,25.0,2.1
378,Nioki,72,CD,2020-10-25,93,-2.72,17.68,22.61,0.18
379,Puerto Madryn,21,AR,2020-10-25,29,-42.77,-65.04,17.25,6.29
380,Kaitangata,98,NZ,2020-10-25,66,-46.28,169.85,11.11,2.24
381,Kenai,90,US,2020-10-25,100,60.55,-151.26,2.78,9.8
382,Manaure,96,CO,2020-10-25,79,11.78,-72.44,28.39,1.27
383,Kachkanar,100,RU,2020-10-25,98,58.7,59.49,-4.16,1.0
384,Cidreira,27,BR,2020-10-25,88,-30.18,-50.21,20.74,11.43
385,Prieska,26,ZA,2020-10-25,21,-29.66,22.75,23.71,2.27
386,Vetlanda,100,SE,2020-10-25,100,57.43,15.08,11.11,1.5
387,Lagoa,78,PT,2020-10-25,68,39.05,-27.98,17.94,2.68
388,Campbell River,75,CA,2020-10-25,56,50.02,-125.24,6.0,2.1
389,Jardim,9,BR,2020-10-25,60,-21.48,-56.14,28.2,1.2
390,Manokwari,99,ID,2020-10-25,66,-0.87,134.08,28.82,0.33
391,Hohhot,0,CN,2020-10-25,34,40.81,111.65,9.0,6.0
392,Urucará,93,BR,2020-10-25,65,-2.54,-57.76,28.37,1.11
393,Sabang,100,ID,2020-10-25,74,5.89,95.32,28.05,7.9
394,Saint-Paul,75,RE,2020-10-25,73,-21.01,55.27,22.0,7.7
395,Nizhniy Kuranakh,100,RU,2020-10-25,94,58.84,125.49,-1.89,0.23
396,Geraldton,0,AU,2020-10-25,93,-28.77,114.6,18.0,6.3
397,Deputatsky,4,RU,2020-10-25,89,69.3,139.9,-15.68,2.49
398,Road Town,40,VG,2020-10-25,74,18.42,-64.62,29.0,4.6
399,Svetlaya,1,RU,2020-10-25,57,46.54,138.33,8.2,3.7
400,Springdale,90,US,2020-10-25,87,36.19,-94.13,9.44,1.5
401,Mareeba,30,AU,2020-10-25,58,-17.0,145.43,30.0,3.1
402,Åmot,71,NO,2020-10-25,93,59.57,7.99,2.78,1.98
403,Gouré,12,NE,2020-10-25,20,13.98,10.27,26.67,2.68
404,Baghdad,0,IQ,2020-10-25,51,33.34,44.4,17.0,1.0
405,Esil,100,KZ,2020-10-25,81,51.96,66.4,9.01,9.04
406,Price,75,US,2020-10-25,44,39.6,-110.81,4.0,6.7
407,Fostoria,100,US,2020-10-25,69,41.16,-83.42,9.44,3.13
408,Nantucket,20,US,2020-10-25,70,41.28,-70.1,10.0,4.6
409,Nouadhibou,0,MR,2020-10-25,57,20.93,-17.03,25.0,10.8
410,Cowra,91,AU,2020-10-25,79,-33.83,148.68,9.44,3.13
411,Padang,100,ID,2020-10-25,69,-0.95,100.35,26.13,0.76
412,San Rafael,0,AR,2020-10-25,32,-34.62,-68.33,17.91,4.12
413,Martil,20,MA,2020-10-25,68,35.62,-5.28,19.0,10.3
414,Amapá,6,BR,2020-10-25,70,1.0,-52.0,26.03,1.85
415,Margate,100,GB,2020-10-25,82,51.38,1.39,10.56,0.89
416,Pangkalanbuun,100,ID,2020-10-25,90,-2.68,111.62,25.6,0.98
417,Yenagoa,62,NG,2020-10-25,93,4.92,6.26,24.09,0.38
418,Sai Buri,100,TH,2020-10-25,88,6.7,101.62,25.11,2.25
419,Wanaka,100,NZ,2020-10-25,81,-44.7,169.15,9.45,2.34
420,Kurayoshi,40,JP,2020-10-25,76,35.43,133.82,13.0,4.6
421,Sabla,29,NG,2020-10-25,23,12.75,4.71,27.29,2.82
422,Tāybād,0,IR,2020-10-25,63,34.74,60.78,6.04,0.33
423,Khasan,2,RU,2020-10-25,58,42.43,130.64,8.85,3.3
424,Pyapon,57,MM,2020-10-25,89,16.28,95.68,24.45,0.84
425,Gamba,100,GA,2020-10-25,89,-2.65,10.0,24.72,3.87
426,Berbera,1,SO,2020-10-25,52,10.44,45.01,27.62,2.53
427,Vestmanna,2,FO,2020-10-25,87,62.16,-7.17,6.0,3.1
428,Leningradskiy,73,RU,2020-10-25,91,69.38,178.42,-3.58,2.6
429,Morón,90,AR,2020-10-25,99,-34.65,-58.62,20.0,1.79
430,Redcar,17,GB,2020-10-25,87,54.62,-1.06,7.22,6.71
431,Faro,40,PT,2020-10-25,88,37.02,-7.93,17.0,6.7
432,Fowa,78,NG,2020-10-25,74,8.92,6.4,24.85,0.85
433,Cabo San Lucas,40,MX,2020-10-25,58,22.89,-109.91,31.11,5.1
434,Sisimiut,97,GL,2020-10-25,86,66.94,-53.67,-6.26,4.42
435,Lhokseumawe,100,ID,2020-10-25,79,5.18,97.15,25.21,1.71
436,Christchurch,100,NZ,2020-10-25,100,-43.53,172.63,14.44,6.2
437,Mormugao,1,IN,2020-10-25,88,15.4,73.8,24.31,2.59
438,George,100,ZA,2020-10-25,100,-33.96,22.46,15.0,3.1
439,Inongo,49,CD,2020-10-25,86,-1.95,18.27,22.44,2.04
440,Värnamo,100,SE,2020-10-25,97,57.19,14.04,10.0,1.1
441,Moba,94,CN,2020-10-25,69,33.23,105.02,7.76,2.24
442,Langenburg,81,DE,2020-10-25,81,49.25,9.85,11.0,2.6
443,Lorengau,100,PG,2020-10-25,65,-2.02,147.27,30.06,2.55
444,Shingū,40,JP,2020-10-25,62,33.73,135.98,15.0,2.1
445,Tsiroanomandidy,55,MG,2020-10-25,56,-18.77,46.03,21.14,1.42
446,Ambilobe,0,MG,2020-10-25,75,-13.2,49.05,20.67,2.2
447,Muros,86,ES,2020-10-25,92,42.78,-9.06,8.89,1.34
448,Asmara,38,ER,2020-10-25,65,15.33,38.93,13.56,2.1
449,Mercedes,68,AR,2020-10-25,76,-34.65,-59.43,19.44,2.68
450,Boden,100,SE,2020-10-25,100,65.83,21.69,4.0,10.3
451,Coffs Harbour,75,AU,2020-10-25,73,-30.3,153.13,21.0,2.6
452,Beloha,93,MG,2020-10-25,80,-25.17,45.05,19.57,1.8
453,Quelimane,0,MZ,2020-10-25,83,-17.88,36.89,25.0,5.1
454,Teya,100,RU,2020-10-25,94,60.38,92.63,-7.08,1.24
455,Northam,30,GB,2020-10-25,86,51.03,-4.22,10.56,4.92
456,Sterling,90,US,2020-10-25,93,39.01,-77.43,8.33,2.6
457,Port-Gentil,75,GA,2020-10-25,83,-0.72,8.78,26.0,5.1
458,Santa Vitória do Palmar,100,BR,2020-10-25,88,-33.52,-53.37,19.41,6.23
459,Ulagan,100,RU,2020-10-25,79,50.63,87.96,-3.22,1.2
460,Longyan,59,CN,2020-10-25,60,25.11,117.02,18.92,1.28
461,Zhob,0,PK,2020-10-25,44,31.34,69.45,9.38,0.51
462,La Tiza,100,PA,2020-10-25,86,7.75,-80.28,25.44,2.31
463,Paraíso,75,CR,2020-10-25,88,9.84,-83.87,21.0,4.1
464,Bugiri,100,UG,2020-10-25,91,0.57,33.74,19.38,2.24
465,Kidal,0,ML,2020-10-25,16,18.44,1.41,24.39,3.82
466,Liubar,100,UA,2020-10-25,81,49.92,27.76,10.04,4.03
467,Port Victoria,100,KE,2020-10-25,90,0.09,33.98,20.3,4.43
468,Haapiti,40,PF,2020-10-25,70,-17.57,-149.87,29.0,3.1
469,Strängnäs,100,SE,2020-10-25,93,59.38,17.03,11.67,3.6
470,Prince Albert,75,CA,2020-10-25,49,53.2,-105.77,-4.0,5.7
471,Marawi,100,PH,2020-10-25,84,8.0,124.29,25.56,2.24
472,Leh,87,IN,2020-10-25,81,34.17,77.58,-3.33,1.29
473,Prince George,90,CA,2020-10-25,62,53.92,-122.75,-3.89,4.6
474,Florianópolis,75,BR,2020-10-25,83,-27.61,-48.5,23.0,3.6
475,Kabinda,100,CD,2020-10-25,96,-6.13,24.48,20.19,1.97
476,Putina,61,PE,2020-10-25,64,-15.47,-69.43,9.34,2.24
477,Fukuechō,20,JP,2020-10-25,93,32.69,128.84,14.0,1.0
478,Smithers,90,CA,2020-10-25,63,54.78,-127.17,-3.0,0.4
479,Kupang,20,ID,2020-10-25,88,-10.17,123.58,26.0,1.5
480,Rāwah,99,IQ,2020-10-25,28,34.48,41.91,17.6,0.56
481,Nizhniy Chir,3,RU,2020-10-25,81,48.36,43.09,8.03,2.81
482,Brandon,75,US,2020-10-25,74,27.94,-82.29,29.0,1.5
483,Karasburg,46,NA,2020-10-25,25,-28.02,18.75,20.17,2.1
484,São Félix do Xingu,70,BR,2020-10-25,64,-6.64,-51.99,26.59,0.3
485,Conde,0,BR,2020-10-25,88,-7.26,-34.91,25.0,2.1
486,Ningxiang,15,CN,2020-10-25,53,37.34,111.21,8.73,1.71
487,Sharjah city,0,AE,2020-10-25,49,25.36,55.4,26.0,2.6
488,Mānsa,48,IN,2020-10-25,27,29.98,75.38,18.9,0.99
489,Port Lincoln,56,AU,2020-10-25,57,-34.73,135.87,13.21,7.94
490,Samāstipur,7,IN,2020-10-25,67,25.85,85.78,21.66,1.34
491,Dhaka,40,BD,2020-10-25,69,23.71,90.41,28.0,1.46
492,Kemijärvi,100,FI,2020-10-25,98,66.71,27.43,-0.31,5.33
493,Mahibadhoo,93,MV,2020-10-25,77,3.78,72.97,27.81,4.37
494,Varhaug,24,NO,2020-10-25,92,58.61,5.65,8.33,7.05
495,Paamiut,100,GL,2020-10-25,89,61.99,-49.67,2.06,4.54
496,Kwinana,0,AU,2020-10-25,72,-32.25,115.77,20.56,4.54
497,Tshikapa,99,CD,2020-10-25,94,-6.42,20.8,22.07,1.04
498,Ancud,75,CL,2020-10-25,76,-41.87,-73.82,10.56,6.2
499,Los Rastrojos,68,VE,2020-10-25,89,10.03,-69.24,22.58,0.43
500,Sarakhs,0,IR,2020-10-25,34,36.54,61.16,11.0,2.1
501,Melo,87,UY,2020-10-25,90,-32.37,-54.18,21.13,5.13
502,Carutapera,100,BR,2020-10-25,79,-1.2,-46.02,26.48,3.28
503,Crotone,0,IT,2020-10-25,61,39.09,17.12,17.04,1.77
504,Princeton,90,US,2020-10-25,94,25.54,-80.41,26.0,4.09
505,Sadovoye,0,RU,2020-10-25,76,47.78,44.51,8.73,2.85
506,Bahía Blanca,65,AR,2020-10-25,54,-38.72,-62.27,12.82,3.06
507,Arrondissement du Havre,32,FR,2020-10-25,81,49.58,0.33,10.0,7.7
508,Te Anau,100,NZ,2020-10-25,65,-45.42,167.72,10.33,1.87
509,Trujillo,54,PE,2020-10-25,83,-8.12,-79.03,17.77,3.56
510,Dingle,100,PH,2020-10-25,91,11.0,122.67,24.47,8.17
511,Boende,100,CD,2020-10-25,97,-0.22,20.87,21.62,0.56
512,Alta Floresta,100,BR,2020-10-25,64,-9.88,-56.09,25.43,0.28
513,Tiruvannamalai,96,IN,2020-10-25,90,12.22,79.07,23.31,1.0
514,Bukachacha,100,RU,2020-10-25,93,52.98,116.92,-0.06,0.58
515,Manavālakurichi,20,IN,2020-10-25,88,8.13,77.3,27.0,1.0
516,Siavonga,0,ZM,2020-10-25,40,-16.54,28.71,26.62,1.98
517,Sørland,75,NO,2020-10-25,86,67.67,12.69,5.0,4.6
518,Zabaykal'sk,43,RU,2020-10-25,93,49.63,117.32,-0.39,2.47
519,Zarubino,0,RU,2020-10-25,60,42.63,131.09,8.55,2.53
520,Tooele,90,US,2020-10-25,88,40.53,-112.3,0.0,6.7
521,Ust'-Barguzin,91,RU,2020-10-25,90,53.45,108.98,-1.52,3.84
522,Kirkenær,85,NO,2020-10-25,96,60.46,12.06,6.11,2.67
523,Toyooka,40,JP,2020-10-25,76,35.53,134.83,13.0,4.6
524,Pacific Grove,40,US,2020-10-25,72,36.62,-121.92,17.22,3.6
525,Cabedelo,0,BR,2020-10-25,88,-6.98,-34.83,25.0,2.1
526,Taoudenni,25,ML,2020-10-25,14,22.68,-3.98,29.82,3.59
527,Tartous,0,SY,2020-10-25,31,34.89,35.89,25.84,2.29
528,Banjar,40,ID,2020-10-25,94,-8.19,114.97,26.0,1.5
529,Villamontes,83,BO,2020-10-25,41,-21.25,-63.5,32.54,2.41
530,Vao,4,NC,2020-10-25,82,-22.67,167.48,22.64,5.8
531,Lobito,88,AO,2020-10-25,84,-12.35,13.55,23.36,3.41
532,Matamoros,5,MX,2020-10-25,13,25.53,-103.25,35.0,2.53
533,Kondinskoye,100,RU,2020-10-25,98,59.65,67.41,-1.9,1.45
534,Labuhan,98,ID,2020-10-25,79,-6.88,112.21,27.29,3.78
535,Quatre Cocos,75,MU,2020-10-25,88,-20.21,57.76,22.78,8.2
536,Sherbakul',75,RU,2020-10-25,100,54.63,72.4,7.0,4.0
537,Victor Harbor,50,AU,2020-10-25,69,-35.57,138.62,13.89,0.89
538,La Libertad,75,EC,2020-10-25,83,-2.23,-80.9,23.0,5.1
539,Aksaray,0,TR,2020-10-25,39,38.37,34.03,8.0,3.6
540,Marabu,40,MY,2020-10-25,94,4.41,114.01,24.0,3.6
541,Mutsu,75,JP,2020-10-25,87,41.29,141.22,12.78,2.6
542,Sakaiminato,20,JP,2020-10-25,87,35.55,133.23,13.0,2.1
543,Andros Town,0,BS,2020-10-25,94,24.7,-77.77,26.0,3.1
544,Aklavik,90,CA,2020-10-25,79,68.22,-135.01,-5.0,7.2
545,Havelock,90,US,2020-10-25,88,34.88,-76.9,21.11,4.6
546,São João da Barra,99,BR,2020-10-25,85,-21.64,-41.05,22.21,4.66
547,Pangnirtung,27,CA,2020-10-25,84,66.15,-65.71,-10.97,2.06
548,Changji,0,CN,2020-10-25,69,44.02,87.32,3.0,2.0
549,Djibo,6,BF,2020-10-25,14,14.1,-1.63,28.22,3.19
550,Ust'-Kishert',100,RU,2020-10-25,97,57.37,57.25,-0.47,1.97
551,Mumford,43,GH,2020-10-25,91,5.26,-0.76,25.54,4.05
552,Yanam,39,IN,2020-10-25,82,16.73,82.22,23.69,1.18
553,San Carlos,51,VE,2020-10-25,91,9.66,-68.58,24.26,1.17
554,Sarangani,100,PH,2020-10-25,75,5.4,125.46,28.57,5.43
555,Guerrero Negro,47,MX,2020-10-25,68,27.98,-114.06,21.19,8.04
556,Redlands,75,US,2020-10-25,55,34.06,-117.18,19.0,4.1
557,Ndélé,58,CF,2020-10-25,77,8.41,20.65,22.73,1.27
558,Goya,67,AR,2020-10-25,95,-29.14,-59.26,20.64,6.6
559,Mahanoro,18,MG,2020-10-25,87,-19.9,48.8,20.14,1.4
560,Markova,100,UA,2020-10-25,88,48.68,24.41,10.46,0.94
561,Araranguá,15,BR,2020-10-25,91,-28.93,-49.49,20.31,4.02
562,San Jerónimo,87,PE,2020-10-25,60,-11.95,-75.28,13.37,0.63
563,Palmer,75,US,2020-10-25,65,42.16,-72.33,7.0,1.5
564,Myitkyina,47,MM,2020-10-25,93,25.38,97.4,20.65,0.66
565,Babu,58,CN,2020-10-25,68,24.42,111.52,20.67,1.63
566,Maragogi,44,BR,2020-10-25,82,-9.01,-35.22,24.93,5.54
567,Mitsamiouli,0,KM,2020-10-25,76,-11.38,43.28,26.1,6.36
568,Srandakan,100,ID,2020-10-25,84,-7.94,110.25,26.41,4.19
569,Nishihara,40,JP,2020-10-25,68,26.18,127.76,23.0,2.6
570,Santiago del Estero,46,AR,2020-10-25,67,-27.8,-64.26,25.24,11.33
571,Cao Bang,51,VN,2020-10-25,77,22.67,106.25,20.89,0.51
572,San Benito,45,US,2020-10-25,57,36.62,-121.08,20.56,1.34
573,Yatou,64,CN,2020-10-25,67,37.15,122.38,14.37,1.03
574,Arlit,0,NE,2020-10-25,18,18.74,7.39,24.81,4.11
